artist_id,artist_name,artist_genre,artist_followers,artist_popularity
0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,`folk-pop` `indie folk` `indie pop` `neo mellow` `new americana` `seattle indie` `stomp and holler` ,751428,74
0NbfKEOTQCcwd6o7wSDOHI,The Game,`gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,2277847,77
0nigeIZAD68zTl4PfFbVFB,The Moondoggies,`stomp and holler` `washington indie` ,10933,34
0NIPkIjTV8mB795yEIiPYL,Wallows,`indie pop` `modern rock` `pop` ,479248,74
0nJUwPwC9Ti4vvuJ0q3MfT,John Prine,`alternative country` `country rock` `folk` `folk rock` `folk-pop` `indie folk` `mellow gold` `new americana` `rock` `roots rock` `singer-songwriter` `traditional folk` ,197138,64
0NmYchKQ8JIR9QHYJA0FRe,Overkill,`crossover thrash` `death metal` `groove metal` `hard rock` `metal` `old school thrash` `progressive metal` `rock` `speed metal` `thrash metal` ,269426,50
0Nn9YwJzcaeuU1jJL06e3r,The Knack,`album rock` `power pop` ,95219,62
0NqxUSg57tX1o1WG7VU1Vp,Stonewall Jackson,`classic country pop` `honky tonk` ,25954,40
0nvdwVbj7NT1WL9P8JowLD,blackwave.,`belgian hip hop` ,25232,54
0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,`atl hip hop` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,932849,71
0O1cTzccAEKaEFShgzAK9V,Bass Santana,`dark trap` `miami hip hop` `underground hip hop` `vapor trap` ,87097,63
